alimento,categoria,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,fibra_g,acido_folico_ug,calcio_mg,hierro_mg,sodio_mg,azucar_equiv_g,indice_glucemico,carga_glucemica,clave,colesterol_mg,vitamina_a_ug_re,selenio_ug,categoria_grasa,azucar_por_equivalente_g,categoria_leche,peso_bruto_redondeado_g,hidratos_carbono_g,acido_ascorbico_mg,hierro_no_hem_mg,potasio_mg,fosforo_mg,indice_glicemico,carga_glicemica,etanol_g,subcategoria,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,grupo,generico,cantidad,verdura,fruta,cereal_sin_grasa,cereal_con_grasa,leguminosa,muy_bajo_aporte_grasa,bajo_aporte_grasa,moderado_aporte_grasa,alto_aporte_grasa,leche_descremada,leche_semidescremada,leche_entera,leche_con_azucar,grasa_sin_proteina,grasa_con_proteina,azucar,azucar_con_grasa,etanol,alimentos_libres_energia,kcal,proteina,lipidos,hidratos_carbono,restaurante,producto,kcal_por_equivalentes,aoambag,aoabag,aoamag,azucar_sin_grasa,verduras,frutas,leguminosas,libre
Salsa de arándano en gelatina enlatada,NA,0.5,rebanada,NA,29,43,0.1,0.1,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,4187,NA,0.5,NA,NA,10.8,NA,29,11.1,0.5,0.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandía picada,NA,1,taza,NA,160,48,1,0.2,NA,0.6,4,NA,NA,NA,NA,72,8.7,4188,NA,59,NA,NA,9.9,NA,160,12.1,15,0.3,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandía rebanada,NA,1,rebanada,NA,200,60,1.3,0.3,NA,0.8,5,NA,NA,NA,NA,NA,NA,4189,NA,73.8,NA,NA,12.4,NA,200,15.1,18.8,0.3,232.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saramuyo,NA,130,g,NA,85,63,1.8,0.8,NA,0,0,NA,NA,NA,NA,NA,NA,4190,NA,7.6,NA,NA,0,NA,130,13.8,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semilla de jinicuil,NA,200,g,NA,40,58,4.8,0.4,NA,0.4,0,NA,NA,NA,NA,NA,NA,4191,NA,8,NA,NA,0,NA,200,10.8,11.2,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamarindo,NA,50,g,NA,25,60,0.7,0.1,NA,1.3,3.5,NA,NA,NA,NA,NA,NA,4192,NA,0.8,NA,NA,14.4,NA,50,15.6,0.8,0.7,157.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamarindo (pulpa sin azúcar),NA,8,cucharada,NA,100,57,0.1,0.1,NA,0.5,0,NA,NA,NA,NA,NA,NA,4193,NA,0,NA,NA,12.7,NA,100,14.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamarindo pelado,NA,0.25,taza,NA,30,72,0.9,0.2,NA,1.5,4.3,NA,NA,NA,NA,NA,NA,4194,NA,1,NA,NA,17.2,NA,30,18.8,1,0.8,188.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tangerina,NA,2,pieza,NA,128,56,0.6,0.3,NA,0.4,10.2,NA,NA,NA,NA,NA,NA,4195,NA,138,NA,NA,0,NA,180,15.3,92,0.4,227.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tejocote,NA,2,pieza,NA,60,52,0.5,0.4,NA,1.6,0,NA,NA,NA,NA,NA,NA,4196,NA,251.1,NA,NA,0,NA,70,13.1,27.4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
