categoria,alimento,cantidad_sugerida,unidad,peso_bruto_redondeado_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,sodio_mg,azucar_por_equivalente_g,indice_glucemico,carga_glucemica
Azúcares con grasa,Chocolate de coco y almendra,1/3,pieza,16,16,78,0.7,4.4,9.7,23.2,7.9,ND,ND
Azúcares con grasa,Chocolate de leche,2/3,pieza,17,17,88,1.3,4.9,9.8,13.0,8.4,43.0,4.2
Azúcares con grasa,Chocolate de menta,2,pieza,17,17,68,0.3,2.0,12.8,0.2,11.2,ND,ND
Azúcares con grasa,Chocolate en polvo con más del 10% proteínas,15,g,15,15,60,1.9,1.0,11.0,14.1,ND,ND,ND
Azúcares con grasa,Chocolate en polvo con menos del 10% proteínas,12,g,12,12,48,0.9,0.4,10.1,45.8,ND,ND,ND
Azúcares con grasa,Chocolate en polvo DICONSA,25,g,25,25,94,15.0,1.1,6.0,162.5,5.4,54.0,3.2
Azúcares con grasa,Chocolate en polvo sin azúcar,3,cucharadita,15,15,60,3.0,1.5,9.0,ND,ND,ND,ND
Azúcares con grasa,Chocolate fundido,3/4,cucharada,14,14,59,0.3,1.5,10.9,6.4,10.4,43.0,4.7
Azúcares con grasa,Chocolate rallado,5,cucharadita,17,17,87,0.9,5.4,9.9,0.7,7.7,43.0,4.3
Azúcares con grasa,Chocolate semi amargo,17,g,17,17,81,0.7,5.1,10.7,1.9,9.3,43.0,4.6
Azúcares con grasa,Chocolate sin azúcar,15,g,15,15,85,2.1,5.8,6.1,0.5,ND,35.0,2.1
Azúcares con grasa,Cocada,3/4,pieza,21,21,92,5.3,5.3,12.8,30.0,6.0,ND,ND
Azúcares con grasa,Crema en polvo para café,9,cucharadita,18,18,98,0.9,6.4,9.9,32.6,9.9,ND,ND
Azúcares con grasa,Flan casero,1/5,taza,61,61,89,2.8,2.5,13.9,32.4,14.2,65.0,9.0
Azúcares con grasa,Flan Danette,1/2,pieza,50,50,54,1.5,1.5,8.6,52.0,8.5,ND,ND
Azúcares con grasa,Flan de caja preparado con leche descremada,1/5,taza,61,61,63,1.8,1.1,11.5,69.2,ND,ND,ND
Azúcares con grasa,Flan de caja preparado con leche entera,1/5,taza,61,61,69,1.8,1.8,11.4,68.5,ND,ND,ND
Azúcares con grasa,Gelatina de Leche Danette sabor cajeta,1/2,pieza,50,50,66,2.7,1.9,9.6,58.8,9.0,ND,ND
Azúcares con grasa,Gelatina de Leche Danette sabor coco,1/2,pieza,50,50,66,2.7,1.9,9.5,57.2,8.9,ND,ND
Azúcares con grasa,Gelatina de Leche Danette sabor fresa,1/2,pieza,50,50,66,2.7,1.9,9.5,57.0,9.0,ND,ND
Azúcares con grasa,Gelatina de Leche Danette sabor vainilla,1/2,pieza,50,50,66,2.7,1.9,9.5,57.2,8.9,ND,ND
Azúcares con grasa,Hershey's creme'n Arandano,1/4,pieza,11,11,57,3.1,3.1,6.2,13.7,5.2,ND,ND
Azúcares con grasa,Jarabe de coco,5,cucharada,85,85,83,0.4,3.9,6.5,ND,ND,ND,ND
Azúcares con grasa,Kinder delice,1/2,paquete,21,21,95,5.9,5.9,9.0,20.0,7.4,ND,ND
Azúcares con grasa,Kranky,1/3,paquete,15,15,67,2.2,2.2,11.0,27.0,6.6,ND,ND
Azúcares con grasa,Lunetas,1/3,paquete (50),16,16,79,0.7,3.4,11.4,9.7,10.1,33.0,3.8
Azúcares con grasa,Malvavisco con chocolate,1/2,pieza,14,14,59,0.6,2.4,9.5,23.5,6.3,ND,ND
Azúcares con grasa,Mayonesa baja en grasa,2,cucharada,28,28,93,0.0,1.9,9.5,149.0,9.5,ND,ND
Azúcares con grasa,Mayonesa light,2,cucharada,28,28,93,0.0,1.9,9.5,149.0,9.5,ND,ND
Azúcares con grasa,Mazapan,3/4,pieza,19,19,85,3.8,3.8,11.3,0.0,9.8,ND,ND
Azúcares con grasa,Menta cubierta con chocolate,1 1/2,pieza,14,14,55,0.2,1.5,10.9,24.5,ND,ND,ND
Azúcares con grasa,Mole,3,cucharada,48,48,79,1.7,5.3,6.2,64.3,ND,ND,ND
Azúcares con grasa,Mole de pepita,1,cucharada,16,16,82,0.9,5.0,8.2,406.8,ND,ND,ND
Azúcares con grasa,Mole poblano,1,cucharada,16,16,91,1.2,6.7,6.7,186.2,ND,ND,ND
Azúcares con grasa,Mole poblano en pasta,1,cucharada,16,16,91,1.2,6.7,6.7,186.2,ND,ND,ND
Azúcares con grasa,Mole poblano preparado,3,cucharada,48,48,79,1.7,5.3,6.2,64.3,ND,ND,ND
Azúcares con grasa,Mousse de chocolate,1/4,taza,50,50,71,1.0,2.3,11.5,76.0,8.6,ND,ND
Azúcares con grasa,Natilla Danette sabor Chocolate,1/2,pieza,50,50,65,1.7,1.8,10.4,59.8,8.8,ND,ND
