alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Hígado de ganso,1/2,pieza,47,47,63,7.7,2.0,3.0,242.1,4375.2,20.2,14.3,65.8,32.0,bajo
Hígado de pato crudo,40,g,40,40,54,7.5,1.8,1.4,206.0,4793.6,4.4,12.2,56.0,26.8,bajo
Hígado de pavo,4,cucharada,35,35,59,8.4,2.1,1.2,219.1,4403.4,3.9,2.7,22.4,35.2,bajo
Hígado de pollo cocido,30,g,30,30,50,7.3,2.0,0.3,168.9,1194.3,3.3,3.5,22.8,24.7,bajo
Hígado de pollo crudo,40,g,40,40,48,7.2,1.6,1.4,120.0,1452.0,4.4,3.4,31.6,25.6,bajo
Hígado de res cocido,30,g,30,30,48,7.3,1.5,1.0,116.7,3180.6,2.1,2.0,21.0,17.1,bajo
Hígado de res frito,25,g,25,25,54,6.7,2.0,2.0,120.5,2682.3,2.8,1.6,26.5,14.3,bajo
Hueva de pescado cocida,25,g,25,25,51,7.2,2.1,0.5,119.8,22.8,7.0,0.2,29.3,12.9,bajo
Huevo congelado sin colesterol,4,cucharada,60,60,96,6.8,6.7,1.9,1.0,81.0,44.0,1.2,120.0,2.0,bajo
Huevo de tortuga,50,g,50,45,51,5.6,2.8,0.4,0.0,28.9,27.6,0.7,0.0,0.0,bajo
Jamón bajo en grasa,2,rebanada,42,42,56,8.1,2.1,0.5,19.5,0.0,3.0,0.3,600.0,7.3,bajo
Jamón de pavo,2,rebanada,42,42,54,8.0,2.1,0.1,23.6,0.0,4.4,1.2,418.5,7.3,bajo
Jamón de pierna,2,rebanada,42,42,56,8.1,2.1,0.5,19.5,0.0,3.0,0.3,600.0,12.3,bajo
Lomo de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,12.8,bajo
Lomo de cerdo en trozos,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,12.8,bajo
Maciza de carnero,50,g,50,40,54,7.6,2.4,0.0,26.0,0.0,2.8,0.9,30.0,15.2,bajo
Maciza de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5,bajo
Milanesa de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4,bajo
Milanesa de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0.0,3.9,1.1,31.5,5.5,bajo
Molida de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,9.8,bajo
Molida de res,30,g,30,30,54,6.2,3.0,0.0,19.5,1.8,3.6,0.9,19.5,5.7,bajo
Molida de sirloin,25,g,25,25,51,7.6,2.0,0.0,22.3,0.0,2.8,0.8,16.5,4.6,bajo
Molida especial,30,g,30,30,54,6.2,3.0,0.0,19.5,1.8,3.6,0.9,19.5,5.7,bajo
Molida regular de res (10% grasa),30,g,30,30,54,6.2,3.0,0.0,19.5,1.8,3.6,0.9,19.5,5.7,bajo
Muslo de pollo crudo sin piel,1/2,pieza,60,45,54,8.8,1.8,0.0,37.4,9.0,4.5,0.5,38.7,6.1,bajo
Ostión cocido,35,g,35,35,57,6.6,1.6,3.5,35.0,51.1,5.8,3.2,74.1,53.9,bajo
Ostión crudo,75,g,75,75,61,7.1,1.7,3.7,37.5,60.9,6.2,3.8,79.4,57.8,bajo
Ostión cultivado,9,pieza,126,126,75,6.6,2.0,6.9,31.5,10.5,55.5,7.3,225.0,80.3,bajo
Ostión cultivado cocido,9,pieza,88,88,70,6.1,1.9,6.4,32.9,16.4,49.3,6.8,143.5,68.4,bajo
Ostión en jugo,70,g,70,70,57,6.6,1.6,3.5,35.0,56.8,5.8,3.6,74.1,53.9,bajo
