alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Huevo agra,1,pieza,63,55,70,6.0,4.5,0.7,199.7,ND,ND,ND,70.0,16.5,moderado
Huevo batido o revuelto cocido,3,cucharada,41,41,69,4.6,5.0,0.9,144.7,57.5,29.2,0.5,115.1,9.2,moderado
Huevo blanco cocido,1,pieza,50,44,68,5.5,4.7,0.5,186.6,73.9,22.0,0.5,54.6,13.6,moderado
Huevo deshidratado,2 1/2,cucharada,13,13,76,6.0,5.4,0.2,203.8,62.5,29.5,0.5,60.0,ND,moderado
Huevo en polvo,2 1/2,cucharada,13,13,76,6.0,5.4,0.2,203.8,62.5,29.6,0.5,60.0,ND,moderado
Huevo entero cocido,1,pieza,50,44,68,5.5,4.7,0.5,186.6,73.9,22.0,0.5,54.6,13.6,moderado
Huevo entero fresco,1,pieza,50,44,63,5.5,4.4,0.3,186.1,61.6,23.3,0.8,61.6,13.9,moderado
Huevo fresco,1,pieza,50,44,63,5.5,4.4,0.3,186.1,61.6,23.3,0.8,61.6,13.9,moderado
Huevo pochado,1,pieza,50,50,71,6.3,5.0,0.4,211.0,69.5,26.5,0.9,147.0,15.8,moderado
Huevo rojo cocido,1,pieza,50,44,68,5.5,4.7,0.5,186.6,73.9,22.0,0.5,54.6,13.6,moderado
Longaniza de primera,45,g,45,44,78,7.3,5.2,0.0,ND,6.6,17.6,2.1,0.0,19.1,moderado
Macarela cocida,1/3,filete,29,29,76,6.9,5.2,0.0,21.9,15.7,4.4,0.5,24.1,15.0,moderado
Macarela fresca,1/3,filete,37,37,76,6.9,5.1,0.0,25.9,18.7,4.3,0.6,33.5,13.5,moderado
Muslo de pollo con piel cocido con hueso,1/3,pieza,43,33,76,7.6,4.8,0.0,27.4,14.3,3.6,0.4,23.1,7.7,moderado
Muslo de pollo con piel crudo con hueso,1/3,pieza,43,34,72,5.9,5.2,0.0,28.5,13.9,3.4,0.3,25.8,4.4,moderado
Orejas de cerdo,1/4,pieza,28,28,66,6.3,4.3,0.2,23.2,0.0,5.9,0.7,54.0,1.2,moderado
Pata de cerdo cocidas,150,g,150,51,71,5.9,5.1,0.0,42.3,5.6,16.3,0.2,285.6,8.1,moderado
Patas de cerdo en escabeche,150,g,150,51,71,5.9,5.1,0.0,42.3,5.6,16.3,0.2,285.6,8.1,moderado
Patitas de cerdo encurtidas sin hueso,150,g,150,51,71,5.9,5.1,0.0,42.3,5.6,16.3,0.2,285.6,8.1,moderado
Pecho de res,50,g,50,37,76,6.4,5.4,0.0,25.9,6.6,2.6,0.2,25.9,2.4,moderado
Pierna de pollo con piel cocida,1/3,pieza,63,36,79,8.7,4.6,0.0,30.2,12.9,4.0,0.5,26.2,8.5,moderado
Pierna y muslo de pollo con piel,1/5,pieza,61,40,74,7.2,4.8,0.0,32.9,14.3,4.0,0.4,31.3,5.0,moderado
